Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
The X Files: I Want to Believe,8836,Drama,Ten Thirteen Productions,30000000,68369434,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",2008-07-24,56.12074249437256
Seven Pounds,11321,Drama,Escape Artists,55000000,168167691,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,2008-12-18,67.29455005718073
Wild Child,13971,Comedy,Universal Pictures,20000000,21972336,Rebellious 16 year old Poppy from Mailibu is sent to an English boarding school. Realising her Father isn't coming back to rescue her she tries to get expelled.,2008-01-01,8.976451115621025
Bolt,13053,Animation,Walt Disney Animation Studios,150000000,309979994,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",2008-11-21,51.60978033956604
Milk,10139,History,Focus Features,20000000,54586584,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm.",2008-11-26,63.360960634576436
Ip Man,14756,Drama,Mandarin Films Distribution Co.,11715578,21888598,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",2008-12-12,46.47634352826069
Babylon A.D.,9381,Action,Babylon,70000000,72108608,"In Babylon A.D Vin Diesel stars as a veteran-turned-mercenary who is hired to deliver a package from the ravages of post-apocalyptic Eastern Europe to a destination in the teeming megalopolis of New York City. The ""package"" is a mysterious young woman with a secret.",2008-08-20,2.9242112120650003
27 Dresses,6557,Comedy,Fox 2000 Pictures,30000000,160259319,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,2008-01-10,81.28033977231614
Star Wars: The Clone Wars,12180,Animation,Lucasfilm,8500000,68282844,Set between Episode II and III the Clone Wars is the first computer animated Star Wars film. Anakin and Obi Wan must find out who kidnapped Jabba the Hutts son and return him safely. The Seperatists will try anything to stop them and ruin any chance of a diplomatic agreement between the Hutt's and the Republic.,2008-08-05,87.5517780132298
City of Ember,13600,Adventure,Playtone,55000000,17869048,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker. Now, two teenagers, in a race against time, must search Ember for clues that will unlock the ancient mystery of the city's existence, before the the lights go out forever.",2008-10-07,-207.7947969024427
Get Smart,11665,Action,WV Films IV,80000000,230685453,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",2008-06-19,65.3207434800841
Step Up 2: The Streets,8328,Music,Touchstone Pictures,23000000,150816700,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",2008-02-14,84.74969946962106
Inkheart,2309,Adventure,New Line Cinema,60000000,57490374,"The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.",2008-12-11,-4.365297745323417
The Midnight Meat Train,10185,Mystery,GreeneStreet Films,15000000,3533227,"The photographer Leon lives with his girlfriend and waitress Maya waiting for a chance to get in the photo business. When Maya contacts their friend Jurgis, he schedules a meeting for Leon with the successful owner of arts gallery Susan Hoff; she analyzes Leon's work and asks him to improve the quality of his photos. During the night, the upset Leon decides to wander on the streets taking pictures with his camera, and he follows three punks down to the subway station; when the gang attacks a young woman, Leon defends her and the guys move on. On the next morning, Leon discovers that the woman is missing. He goes to the police station, but Detective Lynn Hadley does not give much attention to him and discredits his statement. Leon becomes obsessed to find what happened with the stranger and he watches the subway station. When he sees the elegant butcher Mahogany in the train, Leon believes he might be a murderer and stalks him everywhere, in the beginning of his journey to the darkness.",2008-08-07,-324.54107817018263
Asterix at the Olympic Games,2395,Fantasy,TF1 Films Productions,97250400,132900000,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.",2008-01-13,26.824379232505642
Red Cliff,12289,Action,Showbox,80341000,127814609,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",2008-07-10,37.14255308640032
Mirrors,13515,Horror,Regency Enterprises,35000000,72436439,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,2008-08-15,51.68177717847229
Marley & Me,14306,Comedy,Sunswept Entertainment,60000000,242717113,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",2008-12-25,75.27986417669693
"New York, I Love You",12572,Comedy,Vivendi Entertainment,14700000,8049666,"New York, I Love You delves into the intimate lives of New Yorkers as they grapple with, delight in and search for love. Journey from the Diamond District in the heart of Manhattan, through Chinatown and the Upper East Side, towards the Village, into Tribeca, and Brooklyn as lovers of all ages try to find romance in the Big Apple.",2008-09-06,-82.6162725260899
Traitor,13291,Drama,Mandeville Films,22000000,23530831,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn.",2008-08-23,6.505639346098742
Untraceable,8090,Mystery,Cohen/Pearl Productions,35000000,32483410,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",2008-01-22,-7.747308549194805
